index	Title	Location	Company	Synopsis	Link
343	Clinical Research Coordinator	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	The Clinical Research Coordinator will perform independently or with general direction at the fully operational journey level of the series to execute, manage,…	https://www.indeed.com/rc/clk?jk=511b136c91cfe25d&fccid=2a341562d64c7cdb&vjs=3
344	Lab Assistant	San Diego, CA	Sharp Healthcare	8-hour variable shift; including weekends as needed.	https://www.indeed.com/rc/clk?jk=fbc04f439e1630f8&fccid=925a1f6abf9582bb&vjs=3
345	Environmental Analyst and Project Assistant	Lexington, MA	Eastern Research Group, Inc.	Researching scientific and technical topics.	https://www.indeed.com/rc/clk?jk=f94343bdb7ad0ade&fccid=ab1f1bcb9678461f&vjs=3
346	MEG Research Assistant	Omaha, NE	University of Nebraska Medical Center	Department Neurological Sciences 50001975 Business Unit College of Medicine Reg-Temp Full-Time Regular Work Schedule Mon - Fri 8:00 am - 4:30 pm Position…	https://www.indeed.com/rc/clk?jk=7623c87a6ef00711&fccid=b8b24773975b4576&vjs=3
347	Research Assistant for Health & Biomedical Sciences	Rio Grande Valley, TX	The University of Texas Rio Grande Valley	Research Assistant will assist Research Faculty with the research needs of the project.	https://www.indeed.com/rc/clk?jk=214633de18d2efec&fccid=654f5da29df7ad7b&vjs=3
348	Short term Research Assistant	New Brunswick, NJ	Rutgers University	Department SAS - Chem & Chemical Biology.	https://www.indeed.com/rc/clk?jk=4bba39d924c61822&fccid=39baf972ba156d41&vjs=3
349	Grant Funded Research Assistant	Lancaster, PA	Lancaster General Hospital	Maintains research datasets using Excel spreadsheets or systems such as RedCap.	https://www.indeed.com/rc/clk?jk=5f6db4d3839b8b01&fccid=850869518e49e31e&vjs=3
350	Research Assistant in Manufacturing & Industrial Engineering	Edinburg, TX 78539	The University of Texas Rio Grande Valley	The Research Assistant assistantship award is available to master’s and doctoral students who are assigned to a specific faculty member who is conducting…	https://www.indeed.com/rc/clk?jk=028c0828e5f67a44&fccid=654f5da29df7ad7b&vjs=3
351	Biomechanics Team Research Assistant	Natick, MA	U.S. Department of Defense (DOD)	This participant will take part in research activities ranging from study conception to data collection and analysis to manuscript publication.	https://www.indeed.com/rc/clk?jk=8347adec3e708ef0&fccid=9ee66ada40315e6d&vjs=3
352	Lab Assistant - Entry Level	Phoenix, AZ	LabCorp	All employees are provided with the proper PPE including face shields and masks, lab coats, and gloves.	https://www.indeed.com/rc/clk?jk=36a667c6a66593bc&fccid=a3163e1f583839d0&vjs=3
353	Clinical Research Associate - Early Phase - San Antonio	Texas	Worldwide Clinical Trials	The Clinical Research Associate (CRA) is responsible for site qualification, initiation, interim monitoring, site management and study close-out visits for…	https://www.indeed.com/rc/clk?jk=5cad5d4b2f2add90&fccid=bae0514ffbd778df&vjs=3
354	RESEARCH TECHNICIAN II, PSYCHOLOGY & NEUROSCIENCE	Durham, NC 27710	Duke Careers	The main emphasis of the position will be on being involved with, and taking the lead on research projects, thereby gaining valuable research experience for…	https://www.indeed.com/rc/clk?jk=a44096c47868649a&fccid=e7f8960941757ea0&vjs=3
355	Microbiology Laboratory Assistant	Austin, TX 78731	Austin Regional Clinic	We offer the following benefits to eligible team members: Medical, Dental, Vision, Flexible Spending Accounts, Time Off, 401(k), EAP, Life Insurance, Long Term…	https://www.indeed.com/rc/clk?jk=c6a315f7486f68ef&fccid=495fd8b35accfccb&vjs=3
356	Research Assistant/Research Associate	Detroit, MI 48202 (Wayne State area)	Wayne State University	Dissection and processing of human placenta, uterus and other research tissue as needed.	https://www.indeed.com/rc/clk?jk=e75506bf647e930d&fccid=fc5796d278dc2460&vjs=3
357	Research Associate	Louisiana	Essential Access Health	The ideal candidate will have research and/or medical experience and/or a related college degree.	https://www.indeed.com/rc/clk?jk=f00446c7128f026e&fccid=9143d3640c86828a&vjs=3
358	Research Assistant II (Mice Tumor Model) - Pathology	Bethesda, MD	Henry M Jackson Foundation For The Advan	The incumbent performs research and/or development in collaboration with others for projects.	https://www.indeed.com/rc/clk?jk=0033f5850f3d4d1d&fccid=a6eaf84d8368832d&vjs=3
359	Research Assistant I - Molecular Neurobiology Laboratory, Dr...	La Jolla, CA	Salk Institute for Biological Studies	Must be willing to work in an animal-related research environment.	https://www.indeed.com/rc/clk?jk=7e0281c54eda9aca&fccid=5fecbfa5799d4e18&vjs=3
360	Res Assistant II - Head & Neck Tumor Bank Research (40 hours...	Boston, MA 02114 (West End area)	Mass. Eye and Ear (MEE)	Participating in clinical and research meetings held weekly to assist the Head and Neck Team in conducting research studies and clinical trials.	https://www.indeed.com/rc/clk?jk=ef0644bfd013764d&fccid=b1df71503af843b7&vjs=3
361	Pathology Assistant	Newark, NJ 07112 (Weequahic area)	RWJBarnabas Health	The Pathologists' Assistant must be qualified by academic and practical training to assist in providing service in anatomic pathology under the direction and…	https://www.indeed.com/rc/clk?jk=eb5ae04af393f9d4&fccid=c4edd35d91e8a141&vjs=3
362	Sr. Clinical Research Assistant - Denver, CO	Denver, CO 80220 (Central East Denver area)	FRESENIUS	Attends clinical research-related training as required.	https://www.indeed.com/rc/clk?jk=a2bf1a904be25828&fccid=8de1633f2f8eae1d&vjs=3
363	Laboratory Assistant II	Troy, MI 48085	Beaumont Health	Processing of specimens received in various Labs.	https://www.indeed.com/rc/clk?jk=0cde8c9edec5c0d5&fccid=f8cf4605deb0ecbd&vjs=3
364	Clinical Research Assistant	Rolla, MO 65401	Phelps Health	Closes research projects by collecting necessary documents, arranging secure storage of study documents according to institutional and sponsor policy, and…	https://www.indeed.com/rc/clk?jk=492da41ca0e8b23b&fccid=46cc0b46b4b67e66&vjs=3
365	Research Associate	Chapel Hill, NC	UNC-Chapel Hill	Create Rethinc update/newsletter that will include 2-3 original pieces of research and links to articles that Rethinc faculty are currently reading ?	https://www.indeed.com/rc/clk?jk=456f6f30171ac484&fccid=9a199e21f9f95369&vjs=3
366	Research Assistant I - Pharmacology	Dallas, TX 75390 (Near East area)	UT Southwestern	Collects and organizes research data for project reports.	https://www.indeed.com/rc/clk?jk=55f1e30780debdbd&fccid=245cecf5f0560d8c&vjs=3
367	Research Assistant Professor	Rochester, NY	University of Rochester	Demonstrate potential for scholarly development, either receiving independent research grant awards or play a critical role in a large research program…	https://www.indeed.com/rc/clk?jk=ce6dee29ca72fc77&fccid=92278e592a11e3a5&vjs=3
