index	Title	Location	Company	Synopsis	Link
52	Research Assistant	Rockville, MD	WESTAT	Supporting public health and epidemiology research activities.	https://www.indeed.com/rc/clk?jk=2f12516f14d775c7&fccid=1e7fef0b4511d646&vjs=3
53	Literature Research Assistant	West Hills, CA 91304	Pharmavite LLC	Coordinate contract execution with legal for research projects and product donations.	https://www.indeed.com/rc/clk?jk=9c9c14aed70e0c2f&fccid=53047d896a5326d6&vjs=3
54	Research Assistant	Boston, MA 02108 (Back Bay-Beacon Hill area)	Boston Medical Center	Under the direction of the Principal Investigator, the Research Assistant will perform experiments and related research activities using approved protocols and…	https://www.indeed.com/rc/clk?jk=2626d18ad39f5110&fccid=bb0c672891002d42&vjs=3
55	Senior Research Assistant	Portland, OR 97239 (Homestead area)	Oregon Health & Science University	The incumbent will be heavily involved in assisting with and improving upon established research projects by building applications that help organize research…	https://www.indeed.com/rc/clk?jk=4bdd1571f4b9c003&fccid=85be009ba3b3a5a6&vjs=3
56	Research Assistant I - Radiation Oncology - Research	Houston, TX 77030 (Medical Center Area area)	MD Anderson Cancer Center	Conducts experiments and carries out research projects.	https://www.indeed.com/rc/clk?jk=155654a837457dee&fccid=ab68ed48b7ae3b5f&vjs=3
57	Research Assistant (RA) full-time	New Haven, CT	APT Foundation	The RA coordinates implementation and tracking of research study procedures.	https://www.indeed.com/rc/clk?jk=e3e182500d96fa32&fccid=ee6c2c84bf3ffee3&vjs=3
58	Research Assistant I	East Lansing, MI	Michigan State University	Training and supervising undergraduate research assistants.	https://www.indeed.com/rc/clk?jk=902d5a80aa83f0f5&fccid=f3a7ad4cc82dc87d&vjs=3
59	Research Assistant	Newport, RI 02841	QUICK SERVICES LLC	Familiar with applied research methodologies and academic research techniques.	https://www.indeed.com/rc/clk?jk=93e5a8fc5f646297&fccid=c58d1085daeaa38f&vjs=3
60	Financial Research Assistant	Agoura Hills, CA	Informa	Gather all pertinent information for the research project (i.e. product names, compounding, etc.).	https://www.indeed.com/rc/clk?jk=0135f522d2dadd01&fccid=8bae0fba3b920ea8&vjs=3
61	Research Assistant	umbc campus, MD	University of Maryland Baltimore County	Responsibilities include participant recruitment, conducting clinical interviews and administering standardized assessments, managing databases, reporting to…	https://www.indeed.com/rc/clk?jk=8c1621bf6ff9c396&fccid=b757d8b5d8e08079&vjs=3
62	RESEARCH SCIENTIST/ENGINEER ASSISTANT	Seattle, WA	University of Washington	This position performs research related to data reduction and analysis within the Astronomy and Physics fields.	https://www.indeed.com/rc/clk?jk=d186a8405382afe3&fccid=142783ac2edbe56b&vjs=3
63	Research Assistant - RI Peri Britt	Columbus, OH 43205 (Livingston Park North area)	Nationwide Children's Hospital	10% Miscellaneous paperwork associated with research.	https://www.indeed.com/rc/clk?jk=02fd29e4e8b18e16&fccid=54ea2668f5f1eee5&vjs=3
64	Research Assistant 1	Dayton, OH	Wright State University	Two years of laboratory research experience which can include experience obtained during undergraduate studies.	https://www.indeed.com/rc/clk?jk=f1ea7ead18e9ed28&fccid=5303cb964a3316ba&vjs=3
65	Research Assistant I	Boston, MA	Beth Israel Deaconess Medical Center	Performs literature searches and library investigations as they relate to the research and/or as assigned.	https://www.indeed.com/rc/clk?jk=0958c4f9be694a77&fccid=e22cfd26c0a5b241&vjs=3
66	Research Assistant	Providence, RI 02912 (College Hill area)	Brown University	Coursework in research design and experience with human subjects research is preferred.	https://www.indeed.com/rc/clk?jk=82cbc079d45cfded&fccid=f9fa79636b191cd1&vjs=3
67	Research Assistant	Whiting, IN	Southern Cross University	This position, supporting the research collaboration between NSW DPI and Southern Cross University, is fully funded by the external funding arrangements of a…	https://www.indeed.com/rc/clk?jk=0e54afb01143b8d3&fccid=d6cf73d1f77c57c6&vjs=3
68	Build Engineer / Research Associate	Boston, MA 02210 (South Boston area)	Ginkgo Bioworks	Offer ideas for improvements in efficiency of the process based on research of current molecular biology tools.	https://www.indeed.com/rc/clk?jk=8e97672ac02d30f7&fccid=825850c889c17b10&vjs=3
69	Research Assistant I - Psychiatry and Behavioral Sciences (S...	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=150edf5ff767d229&fccid=2259246cd8a35c6c&vjs=3
70	Assistant Research Technician	New York, NY 10016 (Gramercy area)	NYU Langone Health	Maintains the confidentiality of all research information.	https://www.indeed.com/rc/clk?jk=e39569c6659fa95b&fccid=848e72c84ce4a7a7&vjs=3
