index	city	company_name	duration	frequency	job	job_link	salary
338	深圳	SenseTime商汤科技	5天/周	5个月	后端开发实习生_深圳	https://www.shixiseng.com/intern/inn_e18s9g3cjnm2?pcm=pc_SearchList	250-300/天
339	广州	中海达	150-500人	3个月	人力资源实习生	https://www.shixiseng.com/intern/inn_rbwxc3jwlqmh?pcm=pc_SearchList	100-120/天
340	北京	费曼咨询	5天/周	5天/周	猎头实习生	https://www.shixiseng.com/intern/inn_bswx2cxwcjvv?pcm=pc_SearchList	150-250/天
341	苏州	 中德联信 	5天/周	1个月	客服专员	https://www.shixiseng.com/intern/inn_dixzvhqlxetx?pcm=pc_SearchList	200-400/天
342	上海	用友能源	5天/周	4个月	实施顾问实习生	https://www.shixiseng.com/intern/inn_ywaccgmsnirm?pcm=pc_SearchList	100-120/天
343	儋州	我武生物	4天/周	12个月	医药销售代表（儋州）	https://www.shixiseng.com/intern/inn_qomd9ugaied5?pcm=pc_SearchList	100-150/天
344	上海	东吴金科	3个月	5天/周	金融工程实习生	https://www.shixiseng.com/intern/inn_seknmdkmqfp6?pcm=pc_SearchList	150-150/天
345	长沙	芒果TV	3个月	4天/周	Ip文创项目助理	https://www.shixiseng.com/intern/inn_lsnptwwemo2s?pcm=pc_SearchList	面议
346	上海	叽里呱啦 	12个月	5天/周	大数据研发实习生	https://www.shixiseng.com/intern/inn_ls3nbzz08wop?pcm=pc_SearchList	300-400/天
347	无锡	我武生物	10个月	5天/周	医药销售代表/医药信息沟通专员	https://www.shixiseng.com/intern/inn_oqwgeeyerwa5?pcm=pc_SearchList	100-120/天
348	东营	我武生物	12个月	5天/周	医药销售代表/医学信息沟通专员（山东-东营）	https://www.shixiseng.com/intern/inn_zvao8nj8yiq1?pcm=pc_SearchList	120-200/天
349	北京	币信	12个月	5天/周	社群运营实习生	https://www.shixiseng.com/intern/inn_iwnutakaphkr?pcm=pc_SearchList	150-300/天
